8,8,Govt — National,GSTIN Public Listing,https://www.gst.gov.in,Free,YES,Pending,,,Verify your GSTIN appears in public search.
9,6,Govt — National,DGFT IEC,https://www.dgft.gov.in,Free,YES,Optional,,,Only if you do foreign-exchange transactions.
,,,,,,,,,,
,,,── TIER 1: TOP INDIAN DIRECTORIES (HIGHEST IMPACT) ──,,,,,,,,
10,10,Directory,Google Business Profile,https://business.google.com,Free,No,Active,,,Already live. Working on Section B above.
11,10,Directory,JustDial,https://www.justdial.com/Free-Listing,Free,No,Active,,,Already 4.5 stars. Claim and add photos.
12,9,Directory,Sulekha,https://www.sulekha.com/business,Free,No,Pending,,,High DA. Common in Punjab.
13,9,Directory,IndiaMART,https://seller.indiamart.com,Free,No,Pending,,,Free B2B seller account.
14,8,Directory,TradeIndia,https://www.tradeindia.com,Free,No,Pending,,,Similar to IndiaMART.
15,7,Directory,Yellow Pages India,https://www.yellowpages.in,Free,No,Pending,,,Solid NAP citation.
16,6,Directory,AskLaila,https://www.asklaila.com,Free,No,Pending,,,Free local listing.
17,5,Directory,IndiaCatalog,https://www.indiacatalog.com,Free,No,Pending,,,Old but indexed.
18,5,Directory,Hotfrog India,https://www.hotfrog.in,Free,No,Pending,,,Auto-syndicates.
19,5,Directory,CityLocal Pro,https://www.citylocalpro.com,Free,No,Pending,,,Local citation.
20,5,Directory,ClickIndia,https://www.clickindia.com,Free,No,Pending,,,Classified + listing.
21,4,Directory,Khojle,https://www.khojle.in,Free,No,Pending,,,Indian local search.
22,4,Directory,Sify Yellow Pages,https://yellowpages.sify.com,Free,No,Pending,,,Older — still indexed.
,,,,,,,,,,
,,,── TIER 2: TRAVEL INDUSTRY ──,,,,,,,,
23,8,Travel,TripAdvisor,https://www.tripadvisor.in,Free,No,Pending,,,Critical for "travel agency" searches.
24,7,Travel,Tripoto Business,https://www.tripoto.com,Free,No,Pending,,,India travel community.
25,6,Travel,HolidayIQ,https://www.holidayiq.com,Free,No,Pending,,,India travel reviews.
26,6,Travel,Travel Triangle Partner,https://traveltriangle.com,Free,No,Pending,,,B2C travel platform.
27,5,Travel,Yatra B2B,https://www.yatra.com,Free,No,Optional,,,Partner program.
28,5,Travel,MakeMyTrip Partner,https://www.makemytrip.com/franchise/,Free,No,Optional,,,If selling tour packages.
,,,,,,,,,,
,,,── TIER 2: RECRUITMENT INDUSTRY ──,,,,,,,,
29,8,Recruitment,Naukri Recruiter,https://recruiter.naukri.com,Free Tier,No,Pending,,,Free employer profile + paid postings.
30,7,Recruitment,Apna.co Employer,https://employer.apna.co,Free,No,Pending,,,Blue-collar focus — high audience match.
31,7,Recruitment,Foundit (ex-Monster),https://employer.foundit.in,Free,No,Pending,,,Employer page.
32,7,Recruitment,Shine Recruiter,https://recruiter.shine.com,Free,No,Pending,,,Employer profile.
33,7,Recruitment,WorkIndia,https://www.workindia.in,Free,No,Pending,,,Blue-collar platform.
34,6,Recruitment,TimesJobs Recruiter,https://recruiter.timesjobs.com,Free,No,Pending,,,Employer profile.
35,5,Recruitment,Quikr Jobs,https://www.quikr.com/jobs,Free,No,Pending,,,Listings.
36,5,Recruitment,Hirect,https://www.hirect.in,Free,No,Optional,,,Chat-based hiring.
37,4,Recruitment,OLX Jobs,https://www.olx.in,Free,No,Pending,,,Mass-reach classified.
,,,,,,,,,,
,,,── TIER 2: EMPLOYER REPUTATION ──,,,,,,,,
38,7,Reputation,AmbitionBox,https://www.ambitionbox.com,Free,No,Pending,,,India's biggest employer review site.
39,7,Reputation,Glassdoor,https://www.glassdoor.co.in/employers/,Free,No,Pending,,,International employer reviews.
,,,,,,,,,,
,,,── TIER 3: GLOBAL CITATIONS ──,,,,,,,,
40,7,Global,Bing Places,https://www.bingplaces.com,Free,No,Pending,,,Microsoft equivalent of Google.
41,7,Global,Apple Maps Connect,https://mapsconnect.apple.com,Free,No,Pending,,,Critical for iPhone users.
42,8,Social,Facebook Business Page,https://www.facebook.com/business,Free,No,Active,,,Already live. Verify NAP exactly matches.
43,7,Social,LinkedIn Company Page,https://www.linkedin.com/company/setup/new/,Free,No,Pending,,,Recruiter trust.
44,6,Social,Instagram Business,https://www.instagram.com,Free,No,Active,,,Already live. Verify bio NAP.
45,6,Social,YouTube Channel,https://www.youtube.com,Free,No,Active,,,Already live. Add address in About.
46,7,Reputation,Trustpilot,https://business.trustpilot.com,Free,No,Pending,,,International trust building.
47,5,Reputation,MouthShut,https://www.mouthshut.com,Free,No,Pending,,,India review platform.
48,5,Global,Yelp India,https://biz.yelp.com,Free,No,Pending,,,Lower India traffic but Google reads it.
49,5,Authority,Crunchbase,https://www.crunchbase.com/add-new,Free Tier,No,Pending,,,Business profile + DA boost.
50,4,Global,Foursquare,https://foursquare.com/business,Free,No,Pending,,,Auto-syndicates to many apps.
,,,,,,,,,,
,,,── TIER 3: PUNJAB LOCAL ──,,,,,,,,
51,6,Local,Punjab Yellow Pages,https://www.punjabyp.com,Free,No,Pending,,,Hyperlocal Punjab directory.
52,5,Local,Jalandhar Online Directory,https://www.jalandhar.org,Free,No,Pending,,,Local citation.
53,4,Local,Punjab Business Directory,https://www.punjabbusinessdirectory.com,Free,No,Pending,,,State directory.
,,,,,,,,,,
,,,── INDUSTRY SPECIFIC: VISA ──,,,,,,,,
54,5,Visa,VisaHQ,https://www.visahq.com,Mixed,No,Optional,,,Visa-specific authority site.
55,4,Visa,IndianVisaOnline partners,https://indianvisaonline.gov.in,Free,No,Optional,,,Visa partner directories.
,,,,,,,,,,
,,,,,,,,,,
═══════════════════════════════════════════════════════════════════════════════════════════════════════════════════,,,,,,,,,,
SECTION D — INDUSTRY MEMBERSHIPS  (PAID — HIGH ROI ON TRUST),,,,,,,,,,
═══════════════════════════════════════════════════════════════════════════════════════════════════════════════════,,,,,,,,,,
,,,,,,,,,,
#,Body,Approx Cost,Why It Matters,Status,,,,,,
1,IAOIA — Indian Assoc. of Overseas Recruiters,₹10K-25K/yr,Industry recognition badge,Pending,,,,,,
2,FAIPT — Federation of Indian Recruiters,₹10K-15K/yr,Cite logo on listings,Pending,,,,,,
3,TAAI / TAFI — Travel Agents Association,₹15K-30K/yr,If chasing travel-agency rank,Pending,,,,,,
4,IATA Accreditation,Significant,Only if doing flight ticketing,Optional,,,,,,
5,Punjab Chamber of Commerce,₹5K-15K/yr,Local trust + networking,Pending,,,,,,
6,FICCI / CII (national chambers),₹50K+/yr,High budget — only if scaling,Optional,,,,,,
,,,,,,,,,,
,,,,,,,,,,
═══════════════════════════════════════════════════════════════════════════════════════════════════════════════════,,,,,,,,,,
SECTION E — STATUS LEGEND & PRIORITY GUIDE,,,,,,,,,,
═══════════════════════════════════════════════════════════════════════════════════════════════════════════════════,,,,,,,,,,
,,,,,,,,,,
Status,Meaning,,,,,,,,,
Pending,Not yet submitted,,,,,,,,,
Submitted,Submitted but not verified yet,,,,,,,,,
Verified,Listing went live and is crawlable,,,,,,,,,
Active,Listing is live and being maintained,,,,,,,,,
Optional,Skip unless time/budget permits,,,,,,,,,
Rejected,Submission rejected — see Notes,,,,,,,,,
,,,,,,,,,,
Priority,Meaning,,,,,,,,,
10,Do this first — highest impact,,,,,,,,,
9,High impact — do this week,,,,,,,,,
8,Important — do this month,,,,,,,,,
7,Worth doing — schedule it,,,,,,,,,
6,Useful but not urgent,,,,,,,,,
5,Low priority,,,,,,,,,
4,Last priority — only if time permits,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
═══════════════════════════════════════════════════════════════════════════════════════════════════════════════════,,,,,,,,,,
SECTION F — ON-SITE NAP CLEANUP LOG  (HISTORY OF FIXES APPLIED),,,,,,,,,,
═══════════════════════════════════════════════════════════════════════════════════════════════════════════════════,,,,,,,,,,
,,,,,,,,,,
Date,Issue,File / Location,Action Taken,,,,,,,
2026-04-30,Multiple emails on site (3 different),app/layout.tsx + ContactUsPage + Footer + ContactForm,All unified to info@shivatravelconsultant.in. Founder email tlbhagat@gmail.com added to JSON-LD.,,,,,,,
2026-04-30,Phone digit typo (98149 vs 98148),src/components/own/ContactUsPage.tsx,Display + tel link corrected to +91-98148-20432.,,,,,,,
2026-04-30,Wrong domain in Gallabox script,app/layout.tsx,Updated siteLogo to https://shivatravelconsultant.in/logo.jpg,,,,,,,
2026-04-30,GBP post templates wrong domain,gbp-post-templates.md,All shivamanpowerconsultants.com replaced with shivatravelconsultant.in,,,,,,,
2026-04-30,Outreach PDF wrong email,generate_employer_outreach_pdf.py,info@shivamanpower.com replaced with info@shivatravelconsultant.in,,,,,,,
2026-04-30,Aggregate rating mismatch (5.0/14 vs real 4.9/42),app/layout.tsx,JSON-LD updated to ratingValue 4.9 reviewCount 42,,,,,,,
2026-04-30,Closing time updated 6:00 PM → 6:30 PM,layout.tsx + nakodar + faq + 6 city pages + ContactUsPage,All site copy + JSON-LD aligned to 6:30 PM (matches GBP),,,,,,,
